date,Player,Sport,Prop,Original,Discounted,Percentage,Actual,Win
"Aug 21, 2024 · 1:00 PM UTC",Aaron Nola,MLB,K,5.5,3.5,36.36,5,WIN
"Aug 21, 2024 · 1:00 PM UTC",Logan Webb,MLB,K,5.5,3.5,36.36,6,LOSS
"Aug 18, 2024 · 1:10 PM UTC",Aja Wilson,WNBA,PTS,26.5,20.5,22.64,18,WIN
"Aug 18, 2024 · 1:10 PM UTC",Tarik Skubal,MLB,K,6.5,4.5,30.77,5,LOSS
"Aug 14, 2024 · 1:13 PM UTC",K Gibson,MLB,OUTS,16.5,13.5,18.18,5,WIN
"Aug 14, 2024 · 1:13 PM UTC",Ronel Blanco,MLB,K,6.5,4.5,30.77,5,LOSS
"Aug 11, 2024 · 2:28 PM UTC",Luis Castillo,MLB,K,6.5,4.5,30.77,5,WIN
"Aug 11, 2024 · 2:28 PM UTC",Tyler Glasnow,MLB,OUTS,17.5,15.5,11.43,5,LOSS
"Aug 4, 2024 · 2:57 PM UTC",Paul Skenes,MLB,K,7.5,5.5,26.67,5,WIN
"Aug 4, 2024 · 2:57 PM UTC",Corbin Burnes,MLB,OUTS,18.5,16.5,10.81,5,LOSS
"Jul 31, 2024 · 4:08 PM UTC",Dylan Cease,MLB,K,8.5,6.5,23.53,5,WIN
"Jul 31, 2024 · 1:42 PM UTC",Clayton Kershaw,MLB,K,3.5,2.5,28.57,5,LOSS
"Jul 28, 2024 · 2:11 PM UTC",G Crochet,MLB,K,7.5,5.5,26.67,5,WIN
"Jul 28, 2024 · 2:11 PM UTC",C Rodon,MLB,K,6.5,4.5,30.77,5,LOSS
"Jul 24, 2024 · 2:00 PM UTC",G Cole,MLB,K,6.5,4.5,30.77,5,WIN
"Jul 24, 2024 · 2:00 PM UTC",J Steele,MLB,OUTS,17.5,13.5,22.86,5,LOSS
"Jul 21, 2024 · 2:25 PM UTC",J Ryan,MLB,K,6.5,4.5,30.77,5,WIN
"Jul 21, 2024 · 2:25 PM UTC",Juan Soto,MLB,TOTAL BASES,1.5,0.5,66.67,5,LOSS
"Jul 21, 2024 · 2:25 PM UTC",R Blanco,MLB,K,6.5,4.5,30.77,5,WIN
"Jul 17, 2024 · 1:13 PM UTC",A Boston,WNBA,PTS,16.5,12.5,24.24,5,LOSS
"Jul 17, 2024 · 1:13 PM UTC",Caitlin Clark,WNBA,PTS,20.5,16.5,19.51,5,WIN
"Jul 14, 2024 · 1:12 PM UTC",Aja Wilson,WNBA,PTS,26.5,20.5,22.64,5,LOSS
"Jul 14, 2024 · 1:12 PM UTC",Chris Sale,MLB,K,7.5,5.5,26.67,5,WIN
"Jul 13, 2024 · 5:57 PM UTC",Seth Lugo,MLB,OUTS,17.5,15.5,11.43,5,LOSS
"Jul 12, 2024 · 6:47 PM UTC",Cole Ragans,MLB,OUTS,17.5,15.5,11.43,5,WIN
"Jul 11, 2024 · 4:25 PM UTC",Paul Skenes,MLB,OUTS,17.5,15.5,11.43,5,LOSS
"Jul 10, 2024 · 4:58 PM UTC",Corbin Burnes,MLB,K,6.5,4.5,30.77,5,WIN
"Jul 10, 2024 · 1:03 PM UTC",Tyler Bibee,MLB,K,5.5,3.5,36.36,5,LOSS
"Jul 7, 2024 · 12:59 PM UTC",Aja Wilson,WNBA,PTS,26.5,20.5,22.64,5,WIN
"Jul 7, 2024 · 12:59 PM UTC",G Kirby,MLB,K,5.5,3.5,36.36,5,LOSS
"Jul 3, 2024 · 1:57 PM UTC",Chris Sale,MLB,K,7.5,5.5,26.67,5,WIN
"Jul 3, 2024 · 1:57 PM UTC",Ronel Blanco,MLB,K,4.5,3.5,22.22,5,LOSS
"Jun 26, 2024 · 5:17 PM UTC",Kutter Crawford,MLB,FPTS,22.5,17.5,22.22,5,WIN
"Jun 26, 2024 · 2:28 PM UTC",Luis Gil,MLB,FPTS,24.5,19.5,20.41,5,LOSS
"Jun 23, 2024 · 2:04 PM UTC",Paul Skenes,MLB,OUTS,17.5,14.5,17.14,5,WIN
"Jun 23, 2024 · 2:04 PM UTC",Conor McDavid,NHL,SOG,3.5,1.5,57.14,5,LOSS
"Jun 19, 2024 · 4:41 PM UTC",G Crochet,MLB,OUTS,17.5,13.5,22.86,5,WIN
"Jun 19, 2024 · 4:41 PM UTC",Cole Ragans,MLB,OUTS,16.5,14.5,12.12,5,LOSS
"Jun 16, 2024 · 1:17 PM UTC",Tyler Glasnow,MLB,K,7.5,5.5,26.67,5,WIN
"Jun 16, 2024 · 1:17 PM UTC",D Hamby,WNBA,PTS,17.5,13.5,22.86,5,LOSS
"Jun 12, 2024 · 5:53 PM UTC",Jrue Holiday,NBA,PTS,13.5,10.5,22.22,5,WIN
"Jun 12, 2024 · 5:53 PM UTC",Luka Doncic,NBA,PTS,32.5,25.5,21.54,5,LOSS
"Jun 7, 2024 · 8:35 PM UTC",Jayson Tatum,NBA,PTS,26.5,0.5,98.11,5,WIN
"Jun 5, 2024 · 5:03 PM UTC",Paul Skenes,MLB,K,6.5,4.5,30.77,5,LOSS
"Jun 5, 2024 · 1:02 PM UTC",Aja Wilson,WNBA,PTS,26.5,20.5,22.64,5,WIN
"Jun 2, 2024 · 4:33 PM UTC",Caitlin Clark,WNBA,PTS,17.5,13.5,22.86,5,LOSS
"Jun 2, 2024 · 3:12 PM UTC",J Oettinger,NHL,SV,26.5,20.5,22.64,5,WIN
"May 31, 2024 · 10:17 PM UTC",Kelsey Plum,WNBA,PTS,18.5,16.5,10.81,5,LOSS
"May 29, 2024 · 5:39 PM UTC",S Imanaga,MLB,K,6.5,4.5,30.77,5,WIN
"May 29, 2024 · 3:09 PM UTC",J Oettinger,NHL,SV,27.5,21.5,21.82,5,LOSS
"May 26, 2024 · 2:39 PM UTC",Anthony Edwards,NBA,PTS,25.5,20.5,19.61,5,WIN
"May 26, 2024 · 2:39 PM UTC",Y Yamamoto,MLB,K,5.5,3.5,36.36,5,LOSS
"May 22, 2024 · 6:17 PM UTC",Tyler Glasnow,MLB,K,7.5,5.5,26.67,5,WIN
"May 22, 2024 · 5:13 PM UTC",Luka Doncic,NBA,PTS,28.5,22.5,21.05,5,LOSS
"May 19, 2024 · 3:37 PM UTC",Anthony Edwards,NBA,PTS,28.5,22.5,21.05,5,WIN
"May 19, 2024 · 3:37 PM UTC",Shohei Ohtani,MLB,TOTAL BASES,1.5,0.5,66.67,5,LOSS
"May 15, 2024 · 6:54 PM UTC",Shai Gilgeous Alexander,NBA,PTS,31.5,25.5,19.05,5,WIN
"May 15, 2024 · 5:48 PM UTC",Caitlin Clark,WNBA,PTS,21.5,0.5,97.67,5,LOSS
"May 12, 2024 · 2:31 PM UTC",Z Wheeler,MLB,K,7.5,5.5,26.67,5,WIN
"May 12, 2024 · 2:31 PM UTC",Anthony Edwards,NBA,PTS,27.5,21.5,21.82,5,LOSS
"May 8, 2024 · 5:45 PM UTC",Jalen Brunson,NBA,PTS,36.5,28.5,21.92,5,WIN
"May 8, 2024 · 4:12 PM UTC",J Swayman,NHL,SV,30.5,24.5,19.67,5,LOSS
"May 6, 2024 · 6:17 PM UTC",Anthony Edwards,NBA,PTS,30.5,22.5,26.23,5,WIN
"May 5, 2024 · 2:32 PM UTC",Max Fried,MLB,K,5.5,3.5,36.36,5,LOSS
"May 5, 2024 · 2:32 PM UTC",Donavan Mitchell,NBA,PTS,28.5,22.5,21.05,5,WIN
"May 1, 2024 · 7:45 PM UTC",Kyrie Irving,NBA,PTS,26.5,21.5,18.87,5,LOSS
"May 1, 2024 · 7:30 PM UTC",Corbin Burnes,MLB,K,6.5,4.5,30.77,5,WIN
"Apr 28, 2024 · 4:40 PM UTC",Luka Doncic,NBA,PTS,32.5,25.5,21.54,5,LOSS
"Apr 28, 2024 · 4:40 PM UTC",P Lopez,MLB,K,7.5,5.5,26.67,5,WIN
"Apr 24, 2024 · 6:26 PM UTC",Shai Gilgeous Alexander,NBA,PTS,26.5,22.5,15.09,5,LOSS
"Apr 24, 2024 · 5:16 PM UTC",J Ryan,MLB,K,6.5,4.5,30.77,5,WIN
"Apr 23, 2024 · 9:15 PM UTC",Jalen Brunson,NBA,PTS,28.5,0.5,98.25,5,LOSS
"Apr 21, 2024 · 3:51 PM UTC",Jayson Tatum,NBA,PTS,26.5,20.5,22.64,5,WIN
"Apr 21, 2024 · 11:28 AM UTC",Luka Doncic,NBA,PTS,33.5,26.5,20.9,5,LOSS
"Apr 19, 2024 · 7:09 PM UTC",Lebron James,NBA,PTS,24.5,0.5,97.96,5,WIN
"Apr 17, 2024 · 6:17 PM UTC",Joel Embiid,NBA,PTS + REB,42.5,33.5,21.18,5,LOSS
"Apr 17, 2024 · 4:13 PM UTC",Marcus Stroman,MLB,K,4.5,3.5,22.22,5,WIN
"Apr 14, 2024 · 3:51 PM UTC",Lebron James,NBA,PTS,26.5,20.5,22.64,5,LOSS
"Apr 14, 2024 · 11:28 AM UTC",Devin Booker,NBA,PTS,25.5,20.5,19.61,5,WIN
"Apr 12, 2024 · 11:28 AM UTC",RJ Barrett,NBA,PTS,19.5,15.5,20.51,5,LOSS
"Apr 10, 2024 · 11:28 AM UTC",Jackson Holliday,MLB,HIT + RUN + RBI,1.5,0.5,66.67,5,WIN
